"지수별",2018.05,2018.06,2018.07,2018.08,2018.09,2018.10,2018.11,2018.12,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09 p),2022.10 p),2022.11 p)
"선행종합지수(2015=100)",112.1,112.3,112.5,112.4,112.6,112.6,112.7,112.6,112.8,113.0,113.4,113.7,113.7,113.7,113.7,114.0,114.4,115.1,115.8,116.6,116.9,117.2,117.0,117.1,117.1,117.8,118.5,119.5,120.3,121.0,122.0,122.7,123.4,124.1,124.8,125.6,126.4,127.1,127.4,127.5,127.5,127.5,127.4,127.7,128.0,128.0,128.1,128.3,128.8,129.2,129.4,129.6,130.0,130.3,130.4
"선행종합지수 전월비(%)",0.3,0.2,0.2,-0.1,0.2,0.0,0.1,-0.1,0.2,0.2,0.4,0.3,0.0,0.0,0.0,0.3,0.4,0.6,0.6,0.7,0.3,0.3,-0.2,0.1,0.0,0.6,0.6,0.8,0.7,0.6,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.2,0.1,0.0,0.0,-0.1,0.2,0.2,0.0,0.1,0.2,0.4,0.3,0.2,0.2,0.3,0.2,0.1
"재고순환지표(전월차)(%p)",2.6,2.0,0.9,-0.7,0.5,1.0,-1.9,-0.5,-0.1,0.9,2.3,-0.5,-1.0,-1.6,-0.6,1.5,-0.2,0.1,0.9,4.6,1.0,-0.9,-3.6,-1.0,-2.6,-1.3,1.1,2.0,2.8,2.2,4.2,-0.7,0.6,2.4,2.6,2.6,3.0,1.8,-1.7,-5.4,-6.0,-5.8,-4.4,-0.9,0.6,-1.5,-1.4,-2.1,0.5,-2.2,-1.1,-0.1,4.1,4.0,0.3
"경제심리지수(전월차)(p)",0.2,0.8,-1.4,-1.7,-0.4,-0.1,-0.8,-1.6,-1.0,1.0,0.7,1.8,-1.1,-0.6,-1.8,-0.9,-0.3,0.4,0.9,0.3,1.4,-1.4,-8.5,-11.7,-8.6,-0.2,5.0,6.4,2.9,3.8,2.7,2.7,1.4,1.6,5.2,4.2,3.0,2.7,-0.5,0.0,-1.6,0.6,0.3,0.0,0.0,-0.2,-0.4,0.0,0.3,-0.3,-2.6,-2.5,-1.5,-0.8,-2.6
"기계류내수출하지수(선박제외)(전월비)(%)",-0.6,-1.4,0.0,-2.5,-1.9,-2.0,-1.5,-2.3,-1.6,-2.1,0.7,-0.8,-0.6,-1.0,-0.5,0.2,0.6,2.7,0.2,2.3,-1.3,-0.6,-1.6,1.3,0.5,0.3,-1.3,0.6,0.9,1.0,2.4,2.6,0.1,0.7,-1.8,1.3,0.9,1.1,0.0,0.4,-0.3,-1.1,-1.9,0.3,1.8,-0.9,-0.7,-3.9,0.0,0.4,3.4,3.7,1.7,2.7,0.7
"건설수주액(전월비)(%)",2.1,-4.6,7.7,-10.9,4.6,-5.0,5.0,3.0,6.6,-2.1,12.3,-1.5,-2.9,-17.7,-10.4,-1.2,20.3,18.4,9.7,-0.7,-5.6,3.9,-7.7,-9.0,-1.5,16.0,16.3,2.1,-6.0,-1.2,5.5,2.6,4.7,-2.8,0.2,-3.1,-1.8,-4.7,-2.6,2.3,0.9,1.5,-4.3,-1.1,7.9,2.9,8.4,-7.7,1.5,2.2,11.1,-0.2,2.0,-20.8,-9.7
"수출입물가비율(전월비)(%)",-1.3,-0.8,-0.1,0.3,-0.1,-0.7,-0.3,0.5,0.5,-0.6,-1.5,-1.4,-0.8,0.3,0.2,0.3,-0.3,0.1,-0.5,-0.5,-0.7,0.6,2.1,3.4,1.4,-0.5,-1.5,0.0,1.1,0.6,0.1,-0.6,-1.1,-1.3,-0.7,0.8,0.6,0.0,-0.8,-0.5,-0.2,-1.3,-1.3,-0.8,-0.7,-1.6,-2.2,-0.6,0.0,0.6,0.0,0.0,-0.2,-0.4,-0.2
"코스피(전월비)(%)",0.3,-0.8,-2.4,-2.5,-1.3,-1.9,-3.0,-3.6,-0.8,2.0,1.4,1.7,-1.9,-0.9,-2.1,-2.3,-1.0,-0.2,3.0,1.6,2.2,0.6,-5.5,-5.7,-3.5,6.2,5.8,6.1,3.5,2.3,2.2,5.3,9.6,7.0,3.1,0.8,0.8,2.4,0.9,0.1,-1.2,-2.8,-2.3,-1.7,-1.4,-2.7,-3.4,-2.0,-1.2,-2.8,-4.4,-2.0,-1.9,-1.8,-0.9
"장단기금리차(전월차)(%p)",-0.01,-0.02,-0.04,-0.10,-0.12,-0.07,-0.07,-0.16,-0.17,-0.14,-0.01,-0.04,-0.05,-0.10,-0.08,-0.09,0.02,0.10,0.21,0.12,0.04,-0.06,0.03,0.10,0.10,0.12,0.03,0.05,0.02,0.03,0.07,0.03,0.05,0.02,0.08,0.09,0.10,0.04,0.02,-0.03,-0.06,0.08,0.10,-0.02,-0.11,-0.03,0.13,0.25,0.15,0.18,-0.17,-0.23,-0.17,0.00,-0.06
"선행지수 순환변동치",100.4,100.3,100.2,99.8,99.7,99.4,99.2,98.9,98.8,98.6,98.8,98.7,98.5,98.2,98.0,97.9,98.0,98.4,98.7,99.1,99.1,99.0,98.6,98.3,98.0,98.3,98.6,99.0,99.3,99.7,100.1,100.4,100.6,100.8,101.0,101.4,101.7,101.9,101.8,101.6,101.2,100.9,100.5,100.4,100.3,100.0,99.8,99.6,99.6,99.7,99.5,99.4,99.3,99.2,99.0
"〔순환변동치 전월차〕(p)",0.0,-0.1,-0.1,-0.4,-0.1,-0.3,-0.2,-0.3,-0.1,-0.2,0.2,-0.1,-0.2,-0.3,-0.2,-0.1,0.1,0.4,0.3,0.4,0.0,-0.1,-0.4,-0.3,-0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.3,0.2,0.2,0.2,0.4,0.3,0.2,-0.1,-0.2,-0.4,-0.3,-0.4,-0.1,-0.1,-0.3,-0.2,-0.2,0.0,0.1,-0.2,-0.1,-0.1,-0.1,-0.2
"선행지수 전년동월비(%)",3.2,3.0,2.9,2.5,2.3,2.0,1.8,1.5,1.4,1.4,1.6,1.6,1.5,1.4,1.3,1.4,1.6,2.1,2.6,3.2,3.4,3.5,3.2,3.1,2.9,3.2,3.5,4.0,4.4,4.9,5.4,5.7,6.0,6.1,6.3,6.5,6.8,6.9,6.6,6.2,5.6,5.0,4.3,3.8,3.5,2.9,2.5,2.2,2.2,2.3,2.1,2.0,2.0,2.1,2.1
"〔전년동월비 전월차〕(%p)",-0.1,-0.2,-0.1,-0.4,-0.2,-0.3,-0.2,-0.3,-0.1,0.0,0.2,0.0,-0.1,-0.1,-0.1,0.1,0.2,0.5,0.5,0.6,0.2,0.1,-0.3,-0.1,-0.2,0.3,0.3,0.5,0.4,0.5,0.5,0.3,0.3,0.1,0.2,0.2,0.3,0.1,-0.3,-0.4,-0.6,-0.6,-0.7,-0.5,-0.3,-0.6,-0.4,-0.3,0.0,0.1,-0.2,-0.1,0.0,0.1,0.0
"동행종합지수(2015=100)",110.5,110.7,110.8,110.9,110.8,110.8,110.8,110.8,111.3,110.9,111.1,111.1,111.7,112.0,112.3,112.7,112.9,112.9,113.0,113.5,114.0,113.3,112.3,111.0,110.4,110.8,111.1,112.0,112.6,113.4,114.2,114.4,114.3,114.6,115.3,116.3,116.6,116.9,117.3,117.6,117.8,118.1,118.5,119.5,120.4,120.8,120.8,120.7,121.0,121.4,122.2,123.1,123.4,123.7,123.1
"동행종합지수 전월비(%)",0.2,0.2,0.1,0.1,-0.1,0.0,0.0,0.0,0.5,-0.4,0.2,0.0,0.5,0.3,0.3,0.4,0.2,0.0,0.1,0.4,0.4,-0.6,-0.9,-1.2,-0.5,0.4,0.3,0.8,0.5,0.7,0.7,0.2,-0.1,0.3,0.6,0.9,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.8,0.8,0.3,0.0,-0.1,0.2,0.3,0.7,0.7,0.2,0.2,-0.5
"광공업생산지수(전월비)(%)",0.6,1.2,0.4,0.3,-0.7,-0.2,-1.0,-0.7,-0.8,-1.1,0.1,0.2,1.2,0.7,0.8,0.2,0.5,-0.5,0.3,0.7,0.5,-0.6,-0.3,-1.3,-2.9,-1.9,0.5,3.2,1.9,1.1,0.9,0.5,0.8,1.8,1.1,0.4,-0.8,-0.2,0.5,0.9,-0.4,-0.4,-0.2,1.8,1.8,1.4,0.6,-0.6,-0.6,-0.4,0.3,-0.3,-1.5,-2.3,-1.7
"서비스업생산지수(도소매업제외)(전월비)(%)",0.1,0.3,0.2,0.2,0.2,0.2,-0.2,-0.3,0.1,0.2,0.2,0.2,0.5,-0.1,0.1,0.4,0.5,0.2,0.0,0.4,0.5,-0.8,-2.5,-2.5,-0.8,1.5,1.4,0.9,-0.1,0.2,0.4,0.3,-0.3,0.0,0.7,1.0,0.3,0.6,0.4,0.4,0.2,0.5,0.9,0.4,0.1,-0.5,0.2,1.0,1.4,0.9,0.5,0.5,0.6,0.2,-0.5
"건설기성액(전월비)(%)",-0.9,0.2,-0.7,-0.7,-1.0,-1.7,-1.7,-0.9,1.9,0.1,0.8,-1.5,1.0,0.8,-0.2,-0.5,-1.2,0.1,-0.9,0.8,0.9,0.6,0.2,-0.7,-0.5,-1.1,-0.7,-1.5,-0.3,-0.7,2.5,-0.5,-2.2,-2.3,-0.8,0.8,-1.2,-1.4,-1.3,-0.2,0.4,1.4,0.5,2.2,1.3,-0.8,-2.3,-2.1,2.2,1.3,0.3,-0.2,0.3,2.9,2.1
"소매판매액지수(전월비)(%)",-0.2,-0.5,0.0,0.3,-0.5,-0.2,0.2,0.9,1.3,-0.8,0.8,-0.6,1.3,-0.8,-0.4,0.6,0.2,0.5,0.3,1.4,0.3,-2.8,-3.5,-1.1,2.7,3.6,0.2,-0.1,-0.5,1.0,0.2,-0.1,0.9,0.3,0.6,0.7,0.9,0.7,0.2,0.3,0.4,0.4,0.1,0.6,-0.2,0.0,-0.9,-0.2,-0.3,-0.5,-0.5,1.0,0.7,0.7,-1.3
"내수출하지수(전월비)(%)",0.8,0.8,0.0,-0.4,-0.4,0.1,-0.9,-0.4,0.5,-0.8,0.3,-0.4,0.4,-0.3,-0.2,0.2,0.2,-0.7,-0.7,0.3,-0.2,-2.1,-1.3,-1.1,-1.1,-0.5,0.3,2.6,1.8,1.4,1.1,-0.1,0.0,0.5,0.1,0.0,-0.7,-0.1,0.0,0.0,-1.0,-0.6,-0.2,1.4,1.5,0.5,-0.3,-1.8,-0.9,0.0,1.3,1.3,0.0,-1.1,-1.4
"수입액(전월비)(%)",-0.4,-1.1,-0.1,0.2,-0.2,0.2,1.4,0.6,1.0,-2.2,-2.2,-0.4,-0.1,1.8,1.0,1.2,-0.8,-0.7,-0.3,-1.3,0.8,-0.6,2.7,1.5,-0.2,0.0,-2.4,-1.6,1.0,2.9,1.0,0.8,0.3,0.4,1.1,2.2,1.2,0.1,1.0,0.0,-0.1,0.4,0.4,1.2,2.5,-0.2,-0.9,-1.5,-0.8,0.3,3.9,4.1,1.4,2.4,-1.8
"비농림어업취업자수(전월비)(%)",0.0,0.0,-0.1,-0.1,0.0,0.1,0.3,0.0,0.0,0.1,0.2,0.2,0.1,0.1,0.0,0.1,0.1,0.2,0.1,0.3,0.2,0.2,-0.9,-1.2,-1.0,0.0,0.4,0.3,0.1,0.0,0.1,-0.1,-0.5,0.0,0.4,0.9,0.4,0.3,0.2,0.1,0.2,0.2,0.2,0.1,0.1,0.6,0.5,0.6,0.1,0.2,0.1,0.0,0.0,0.1,0.0
"동행지수 순환변동치",101.7,101.8,101.6,101.5,101.1,100.9,100.7,100.5,100.7,100.1,100.1,99.8,100.2,100.2,100.2,100.4,100.4,100.3,100.2,100.5,100.7,100.0,98.8,97.6,96.8,97.0,97.2,97.7,98.1,98.6,99.0,99.0,98.8,98.8,99.2,99.9,100.0,100.0,100.1,100.2,100.1,100.2,100.3,101.0,101.5,101.6,101.5,101.1,101.2,101.3,101.8,102.3,102.4,102.4,101.7
"〔순환변동치 전월차〕(p)",-0.1,0.1,-0.2,-0.1,-0.4,-0.2,-0.2,-0.2,0.2,-0.6,0.0,-0.3,0.4,0.0,0.0,0.2,0.0,-0.1,-0.1,0.3,0.2,-0.7,-1.2,-1.2,-0.8,0.2,0.2,0.5,0.4,0.5,0.4,0.0,-0.2,0.0,0.4,0.7,0.1,0.0,0.1,0.1,-0.1,0.1,0.1,0.7,0.5,0.1,-0.1,-0.4,0.1,0.1,0.5,0.5,0.1,0.0,-0.7
"후행종합지수(2015=100)",109.9,110.2,110.5,110.7,110.9,111.3,111.7,112.1,112.4,112.7,112.9,113.1,113.5,113.7,114.0,114.3,114.6,114.9,115.1,115.4,115.6,115.9,116.0,116.1,116.4,116.7,116.9,117.2,117.5,117.7,117.9,118.2,118.6,119.0,119.4,120.0,120.4,120.8,121.2,121.5,122.0,122.6,123.2,123.8,124.3,124.9,125.4,125.9,126.3,127.0,127.7,128.4,129.0,129.6,130.4
"후행종합지수 전월비(%)",0.3,0.3,0.3,0.2,0.2,0.4,0.4,0.4,0.3,0.3,0.2,0.2,0.4,0.2,0.3,0.3,0.3,0.3,0.2,0.3,0.2,0.3,0.1,0.1,0.3,0.3,0.2,0.3,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.5,0.3,0.3,0.3,0.2,0.4,0.5,0.5,0.5,0.4,0.5,0.4,0.4,0.3,0.6,0.6,0.5,0.5,0.5,0.6
"생산자제품재고지수(전월비)(%)",0.3,0.5,-0.2,0.4,-0.6,0.3,1.1,1.9,0.3,-0.4,-1.3,0.7,0.6,1.0,0.8,0.0,0.6,-0.4,0.3,-1.0,-0.4,0.0,1.0,0.4,0.3,0.2,-0.1,0.4,-0.4,-0.7,-1.6,-0.6,-0.4,0.3,-0.4,-0.2,-0.5,0.0,0.5,1.8,2.4,2.7,1.6,1.7,0.6,0.9,0.3,0.5,-0.7,1.2,1.5,1.7,-0.2,-0.8,0.0
"소비자물가지수변화율(서비스)(전월차)(%p)",0.1,0.0,-0.1,-0.1,-0.1,0.0,0.1,0.0,0.0,-0.1,-0.2,-0.2,-0.2,0.0,0.0,0.1,-0.2,-0.1,-0.1,0.0,-0.1,-0.2,-0.2,-0.1,0.0,0.0,0.0,0.0,0.1,-0.3,0.1,0.0,0.6,0.2,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.4,0.1,0.2,-0.2,0.2,0.2,0.1,0.1,0.3,0.3,0.2,0.1,0.1,0.0
"소비재수입액(전월비)(%)",-0.7,1.8,0.9,-0.6,-1.1,3.0,0.4,1.8,0.1,-1.4,0.9,-0.7,3.9,-1.9,0.0,0.6,2.6,-0.3,-3.3,0.9,-0.8,-0.6,-2.9,-0.7,2.9,1.2,-0.1,1.7,1.6,4.1,1.3,1.4,0.2,2.6,1.8,2.4,1.3,0.3,-0.5,-2.2,-0.5,-0.2,2.3,1.9,4.4,3.1,1.0,-0.4,0.7,-0.1,1.5,2.9,3.2,0.2,-3.5
"취업자수(전월비)(%)",0.1,0.0,-0.1,-0.1,0.0,0.1,0.3,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.3,0.3,0.3,-0.7,-1.2,-1.0,-0.1,0.3,0.3,0.1,0.1,0.1,0.0,-0.5,0.0,0.4,0.9,0.4,0.2,0.2,0.1,0.2,0.2,0.2,0.1,0.2,0.6,0.5,0.5,0.2,0.2,0.1,0.0,0.0,0.0,-0.1
"CP유통수익률(전월차)(%p)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,-0.2,-0.2,-0.1,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.2,0.3,0.3,0.3,0.5,0.8
